# mean,stddev
3.814449608325958252e-01,1.217385455965995789e-01
2.168128937482833862e-01,2.497763186693191528e-02
1.543743759393692017e-01,1.766782999038696289e-02
1.169261112809181213e-01,1.449377462267875671e-02
9.338700771331787109e-02,1.304648444056510925e-02
7.771661877632141113e-02,1.112751848995685577e-02
6.713774055242538452e-02,1.067082397639751434e-02
5.961887538433074951e-02,9.826947934925556183e-03
5.442543700337409973e-02,9.143904782831668854e-03
5.096627771854400635e-02,8.664113469421863556e-03
